direct	iata	name	country	country_name
False	HRL	Харлинген	US	США
False	OAG	Ориндж	AU	Австралия
False	BVE	Брив-ла-Гайард	FR	Франция
False	JIM	Джимма	ET	Эфиопия
False	YXC	Кранбрук	CA	Канада
False	BRL	Берлингтон	US	США
False	KUD	Кудат	MY	Малайзия
False	SNC	Салинас	EC	Эквадор
False	BIK	Биак	ID	Индонезия
False	QBC	Белла-Кула	CA	Канада
False	VAW	Вардё	NO	Норвегия
False	JTC	Бауру	BR	Бразилия
False	PNT	Пуэрто-Наталес	CL	Чили
False	VAV	Вавау	TO	Тонга
False	CVT	Ковентри	GB	Великобритания
False	GYU	Гуюань	CN	Китай
False	IXD	Праяградж	IN	Индия
False	GKA	Горока	PG	Папуа — Новая Гвинея
False	MGF	Маринга	BR	Бразилия
False	TGP	Бор	RU	Россия
False	KEP	Непалгандж	NP	Непал
False	CHO	Шарлотсвилл	US	США
False	BNN	Брённёйсунн	NO	Норвегия
False	PSE	Понсе	PR	Пуэрто-Рико
False	TIM	Тимика	ID	Индонезия
False	OER	Эрншёльдсвик	SE	Швеция
False	GET	Джералдтон	AU	Австралия
False	NDC	Нандед	IN	Индия
False	PRA	Парана	AR	Аргентина
False	YNY	Янъян	KR	Южная Корея
False	CAW	Кампус-дус-Гойтаказис	BR	Бразилия
False	KYP	Чаупью	MM	Мьянма
False	KTE	Кертех	MY	Малайзия
False	MAZ	Маягуэс	PR	Пуэрто-Рико
False	SYM	Сымао	CN	Китай
False	OHE	Мохэ	CN	Китай
False	ONK	Оленёк	RU	Россия
False	MVY	Мартас-Винъярд	US	США
False	GVR	Говернадор-Валадарис	BR	Бразилия
False	FNB	Нойбранденбург	DE	Германия
False	HUE	Хумера	ET	Эфиопия
False	DAV	Давид	PA	Панама
False	KSM	Сент-Мэрис	US	США
False	LUM	Манши	CN	Китай
False	SGU	Сент-Джордж	US	США
False	BDB	Бандаберг	AU	Австралия
False	BKW	Бекли	US	США
False	KRY	Карамай	CN	Китай
False	DIG	Шангри-Ла	CN	Китай
False	GJL	Джиджель	DZ	Алжир
False	ABE	Аллентаун	US	США
False	IWD	Айронвуд	US	США
False	VIT	Витория-Гастейс	ES	Испания
False	JGS	Цзиань	CN	Китай
False	CUF	Кунео	IT	Италия
False	YZR	Сарния	CA	Канада
False	ENE	Энде	ID	Индонезия
False	BVG	Берлевог	NO	Норвегия
False	ODY	Сай	LA	Лаос
False	PSO	Пасто	CO	Колумбия
False	MBD	Ммабато	ZA	ЮАР
False	NTQ	Вадзима	JP	Япония
False	PLO	Порт-Линкольн	AU	Австралия
False	MKZ	Малакка	MY	Малайзия
False	CNY	Моаб	US	США
False	SEU	Серонера	TZ	Танзания
False	GDV	Глендайв	US	США
False	MAQ	Мэсот	TH	Таиланд
False	PAZ	Поса-Рика	MX	Мексика
False	ULH	Аль-Ула	SA	Саудовская Аравия
False	TMI	Тумлингтар	NP	Непал
False	MEH	Мехамн	NO	Норвегия
False	ABX	Олбери	AU	Австралия
False	TCZ	Тэнчун	CN	Китай
False	MQL	Милдьюра	AU	Австралия
False	HJJ	Хуайхуа	CN	Китай
False	ZOS	Осорно	CL	Чили
False	TDD	Тринидад	BO	Боливия
False	TTA	Тан-Тан	MA	Марокко
False	GOU	Гаруа	CM	Камерун
False	UBS	Колумбус	US	США
False	AUQ	Хива-Оа	PF	Французская Полинезия
False	KDI	Кендари	ID	Индонезия
False	APL	Нампула	MZ	Мозамбик
False	BHH	Биша	SA	Саудовская Аравия
False	DAT	Датун	CN	Китай
False	SWF	Ньюбург	US	США
False	NVA	Нейва	CO	Колумбия
False	PPN	Попаян	CO	Колумбия
False	XIC	Сичан	CN	Китай
False	JLN	Джоплин	US	США
False	ISP	Айлип	US	США
False	MKQ	Мерауке	ID	Индонезия
False	GMB	Гамбела	ET	Эфиопия
False	MOF	Маумере	ID	Индонезия
False	RKD	Рокленд	US	США
False	LAE	Лаэ	PG	Папуа — Новая Гвинея
False	BHU	Бхавнагар	IN	Индия
False	MZG	Магун	TW	Тайвань
False	WCA	Кастро	CL	Чили
False	PZE	Пензанс	GB	Великобритания
False	HOB	Хоббс	US	США
False	UEO	Кумедзима	JP	Япония
False	KZS	Кастелоризон	GR	Греция
False	SKZ	Суккур	PK	Пакистан
